"Observed","Shannon","InvSimpson","Datos","Punto","Escenario"
16,2.65965778950342,13.0783607295654,"Rarefactados","Derivada","Desigual"
17,2.62332342553575,12.3497767382522,"Rarefactados","Derivada","Desigual"
17,2.50808399642239,10.531459655485,"Rarefactados","Derivada","Desigual"
8,1.54246532404058,3.99979340265822,"Rarefactados","Derivada","Desigual"
8,1.53546692666722,3.84057396019308,"Rarefactados","Derivada","Desigual"
5,1.37819682866715,3.66788759077992,"Rarefactados","Derivada","Desigual"
16,2.02317911718724,3.96646861981834,"Rarefactados","Derivada","Desigual"
15,2.08873999079705,4.51675869041139,"Rarefactados","Derivada","Desigual"
13,1.60798543930267,2.88257481760881,"Rarefactados","Derivada","Desigual"
22,2.48976979432163,6.66142906296594,"Rarefactados","Derivada","Desigual"
18,2.30184028752123,5.75686391119041,"Rarefactados","Derivada","Desigual"
14,2.3073474377511,7.15723967960567,"Rarefactados","Derivada","Desigual"
14,2.26931667807275,6.86131128174837,"Rarefactados","Derivada","Desigual"
18,2.67809877986576,12.6897531133931,"Rarefactados","Derivada","Desigual"
19,2.75463094203442,14.0394005317863,"Rarefactados","Derivada","Desigual"
15,2.47399283188926,10.2129417970811,"Rarefactados","Derivada","Desigual"
12,2.33141897947186,8.93966446052024,"Rarefactados","Derivada","Desigual"
15,2.45608748994206,8.9562066306862,"Rarefactados","Derivada","Desigual"
14,2.47579557722698,10.4858277667449,"Rarefactados","Derivada","Desigual"
11,2.24784445118552,7.93131230370067,"Rarefactados","Derivada","Desigual"
14,2.52044190516115,11.7835260701968,"Rarefactados","Derivada","Desigual"
14,2.44439538166907,9.608105872622,"Rarefactados","Derivada","Desigual"
13,2.36840399234389,9.26184021687131,"Rarefactados","Derivada","Desigual"
15,2.57697570935642,12.0725420910414,"Rarefactados","Derivada","Desigual"
14,2.38492583114559,9.08509307054591,"Rarefactados","Derivada","Desigual"
14,2.46893280877384,10.2780038931163,"Rarefactados","Derivada","Desigual"
14,2.42435556185478,9.98470001719099,"Rarefactados","Derivada","Desigual"
16,2.66248176184527,13.1397720455909,"Originales","Derivada","Desigual"
17,2.63298461483025,12.5235527359239,"Originales","Derivada","Desigual"
17,2.51496173511962,10.6173564753004,"Originales","Derivada","Desigual"
8,1.56805388068697,4.11735327671441,"Originales","Derivada","Desigual"
8,1.54374072029058,3.90960743801653,"Originales","Derivada","Desigual"
5,1.35456109938729,3.58867506576215,"Originales","Derivada","Desigual"
16,1.99499015883006,3.81926906384399,"Originales","Derivada","Desigual"
