"Observed","Shannon","InvSimpson","Datos","Punto","Escenario"
16,2.65094771340933,12.7811059907834,"Rarefactados","Logistico","Desigual"
17,2.62775481948196,12.3909158600149,"Rarefactados","Logistico","Desigual"
17,2.52345459373559,10.6604740550929,"Rarefactados","Logistico","Desigual"
8,1.57594111277774,4.16285178236398,"Rarefactados","Logistico","Desigual"
8,1.54579258890909,3.97397014925373,"Rarefactados","Logistico","Desigual"
5,1.33947424072585,3.52078705172961,"Rarefactados","Logistico","Desigual"
16,1.98552655880667,3.80757350417572,"Rarefactados","Logistico","Desigual"
15,2.02339195797509,4.22950819672131,"Rarefactados","Logistico","Desigual"
14,1.60290217159695,2.87657735522904,"Rarefactados","Logistico","Desigual"
22,2.46502430445522,6.22442491116514,"Rarefactados","Logistico","Desigual"
18,2.31465389513532,5.60964099106691,"Rarefactados","Logistico","Desigual"
14,2.30401397353457,7.20233715645964,"Rarefactados","Logistico","Desigual"
15,2.24885578417033,6.58919025935458,"Rarefactados","Logistico","Desigual"
18,2.65918930321305,12.3863044287309,"Rarefactados","Logistico","Desigual"
17,2.69242261569651,13.1653481012658,"Rarefactados","Logistico","Desigual"
14,2.44342876266894,9.71453590192644,"Rarefactados","Logistico","Desigual"
12,2.32190898757744,8.76303317535545,"Rarefactados","Logistico","Desigual"
15,2.43905743454914,8.65141668832857,"Rarefactados","Logistico","Desigual"
14,2.44666778385216,9.98559855985599,"Rarefactados","Logistico","Desigual"
14,2.51659372883981,11.686095505618,"Rarefactados","Logistico","Desigual"
14,2.46399340728814,10.0428485214243,"Rarefactados","Logistico","Desigual"
13,2.39137302268785,9.70886814469078,"Rarefactados","Logistico","Desigual"
15,2.57362607765532,11.8694721825963,"Rarefactados","Logistico","Desigual"
14,2.41026407444587,9.21428571428572,"Rarefactados","Logistico","Desigual"
14,2.48316006316884,10.684430176565,"Rarefactados","Logistico","Desigual"
14,2.41956158556311,9.89652096342551,"Rarefactados","Logistico","Desigual"
16,2.66248176184527,13.1397720455909,"Originales","Logistico","Desigual"
17,2.63298461483025,12.5235527359239,"Originales","Logistico","Desigual"
17,2.51496173511962,10.6173564753004,"Originales","Logistico","Desigual"
8,1.56805388068697,4.11735327671441,"Originales","Logistico","Desigual"
8,1.54374072029058,3.90960743801653,"Originales","Logistico","Desigual"
5,1.35456109938729,3.58867506576215,"Originales","Logistico","Desigual"
16,1.99499015883006,3.81926906384399,"Originales","Logistico","Desigual"
15,2.04117072973144,4.30104223806912,"Originales","Logistico","Desigual"
14,1.61061310697459,2.84596152864942,"Originales","Logistico","Desigual"
22,2.48735199274973,6.45241265614102,"Originales","Logistico","Desigual"
18,2.30648930512025,5.66977061094708,"Originales","Logistico","Desigual"
14,2.30574715186301,7.06314422530639,"Originales","Logistico","Desigual"
15,2.25605856049909,6.53095684803002,"Originales","Logistico","Desigual"
18,2.65028563760554,12.3825812505331,"Originales","Logistico","Desigual"
19,2.71500808148907,13.2170195975273,"Originales","Logistico","Desigual"
15,2.48516622505274,10.4188833674364,"Originales","Logistico","Desigual"
12,2.33048087639682,8.92354174374152,"Originales","Logistico","Desigual"
15,2.48279185182936,9.35429971131135,"Originales","Logistico","Desigual"
14,2.46690021877857,10.2589671839227,"Originales","Logistico","Desigual"
15,2.5343216575359,11.8507199529827,"Originales","Logistico","Desigual"
14,2.46129133570799,9.85083135391924,"Originales","Logistico","Desigual"
13,2.38546034495268,9.59153865525057,"Originales","Logistico","Desigual"
15,2.57270688206992,11.9439366240098,"Originales","Logistico","Desigual"
14,2.40357585894704,9.20950490682545,"Originales","Logistico","Desigual"
14,2.46835290101066,10.3674008810573,"Originales","Logistico","Desigual"
14,2.4163505651125,9.75441335414915,"Originales","Logistico","Desigual"
37,2.9282505153822,14.6863673760888,"Rarefactados","Logistico","Alto numero de lecturas"
37,2.94932346992716,15.1259553515712,"Rarefactados","Logistico","Alto numero de lecturas"
32,2.94813606117604,14.96100163018,"Rarefactados","Logistico","Alto numero de lecturas"
21,1.83572160456277,4.77671914370741,"Rarefactados","Logistico","Alto numero de lecturas"
24,1.84648552295089,4.61457229904097,"Rarefactados","Logistico","Alto numero de lecturas"
25,1.83117271376042,4.6434160103694,"Rarefactados","Logistico","Alto numero de lecturas"
47,2.2829524534029,4.09622064110064,"Rarefactados","Logistico","Alto numero de lecturas"
47,2.53589258118531,5.24941915217696,"Rarefactados","Logistico","Alto numero de lecturas"
54,2.57729919017736,4.88550333167666,"Rarefactados","Logistico","Alto numero de lecturas"
53,2.93724394398486,8.23849136332946,"Rarefactados","Logistico","Alto numero de lecturas"
61,2.89291064157933,7.11352960953335,"Rarefactados","Logistico","Alto numero de lecturas"
55,3.06542500831299,11.029018401703,"Rarefactados","Logistico","Alto numero de lecturas"
32,2.50291448953823,7.74243337041731,"Rarefactados","Logistico","Alto numero de lecturas"
47,2.9433657516886,15.2716460680047,"Rarefactados","Logistico","Alto numero de lecturas"
49,2.97710025070693,15.3926336047321,"Rarefactados","Logistico","Alto numero de lecturas"
25,2.54606336841722,10.7476346313152,"Rarefactados","Logistico","Alto numero de lecturas"
24,2.4868347448782,9.45854679923397,"Rarefactados","Logistico","Alto numero de lecturas"
24,2.52834768678691,10.736164577813,"Rarefactados","Logistico","Alto numero de lecturas"
15,2.45533179210669,9.7639376262235,"Rarefactados","Logistico","Alto numero de lecturas"
18,2.53289910158597,11.0931798474034,"Rarefactados","Logistico","Alto numero de lecturas"
21,2.52396259448445,10.511524683958,"Rarefactados","Logistico","Alto numero de lecturas"
16,2.47990225428727,10.3255258026266,"Rarefactados","Logistico","Alto numero de lecturas"
19,2.50282617182935,10.6435154332591,"Rarefactados","Logistico","Alto numero de lecturas"
24,2.48725637372788,9.63237250304932,"Rarefactados","Logistico","Alto numero de lecturas"
18,2.47702034387054,10.1234276554937,"Rarefactados","Logistico","Alto numero de lecturas"
23,2.43176085153043,8.99426311268866,"Rarefactados","Logistico","Alto numero de lecturas"
37,2.92659435942654,14.6972409883355,"Originales","Logistico","Alto numero de lecturas"
38,2.95780096480279,15.2548895643355,"Originales","Logistico","Alto numero de lecturas"
32,2.95005089835016,15.0401062772611,"Originales","Logistico","Alto numero de lecturas"
22,1.83857066923702,4.79358299003966,"Originales","Logistico","Alto numero de lecturas"
25,1.84610350735022,4.60898075664998,"Originales","Logistico","Alto numero de lecturas"
25,1.83968832238107,4.67759302934127,"Originales","Logistico","Alto numero de lecturas"
48,2.27596649498962,4.06211300207608,"Originales","Logistico","Alto numero de lecturas"
47,2.52293252499563,5.13875055582524,"Originales","Logistico","Alto numero de lecturas"
54,2.56884440785969,4.85397833153793,"Originales","Logistico","Alto numero de lecturas"
54,2.9268262926644,8.07982098312607,"Originales","Logistico","Alto numero de lecturas"
62,2.9062659309516,7.24306900523128,"Originales","Logistico","Alto numero de lecturas"
56,3.06560617284057,10.9906352829546,"Originales","Logistico","Alto numero de lecturas"
32,2.51093053177744,7.90067796100821,"Originales","Logistico","Alto numero de lecturas"
48,2.94540913477684,15.3223271020068,"Originales","Logistico","Alto numero de lecturas"
49,2.98575626453431,15.4590619524368,"Originales","Logistico","Alto numero de lecturas"
25,2.54546305364368,10.7166401375144,"Originales","Logistico","Alto numero de lecturas"
26,2.48844409493171,9.53981552201889,"Originales","Logistico","Alto numero de lecturas"
27,2.52712281052883,10.7130060659624,"Originales","Logistico","Alto numero de lecturas"
15,2.45751782629794,9.8155482119308,"Originales","Logistico","Alto numero de lecturas"
18,2.53345575773745,11.1200263307317,"Originales","Logistico","Alto numero de lecturas"
21,2.5269559355899,10.5810691883594,"Originales","Logistico","Alto numero de lecturas"
16,2.47976684004097,10.325221152072,"Originales","Logistico","Alto numero de lecturas"
19,2.5024202215957,10.6415950066812,"Originales","Logistico","Alto numero de lecturas"
24,2.48873051233954,9.63683016828868,"Originales","Logistico","Alto numero de lecturas"
18,2.47953610134898,10.1824307077261,"Originales","Logistico","Alto numero de lecturas"
23,2.43202426370492,8.99022506202797,"Originales","Logistico","Alto numero de lecturas"
10,2.14786151817529,7.68432671081678,"Rarefactados","Logistico","Balanceado"
9,1.97014979286641,6.41068139963168,"Rarefactados","Logistico","Balanceado"
4,1.33751020207372,3.66807165437302,"Rarefactados","Logistico","Balanceado"
4,1.28926274629293,3.4431256181998,"Rarefactados","Logistico","Balanceado"
4,1.31025707470228,3.5055387713998,"Rarefactados","Logistico","Balanceado"
8,1.34343668246672,2.39573296627667,"Rarefactados","Logistico","Balanceado"
7,1.50459851704526,3.13321332133213,"Rarefactados","Logistico","Balanceado"
4,1.04775895608675,2.30072703238599,"Rarefactados","Logistico","Balanceado"
7,1.73640680045874,4.86853146853147,"Rarefactados","Logistico","Balanceado"
5,1.21752932169677,2.51699204627621,"Rarefactados","Logistico","Balanceado"
