"Observed","Shannon","InvSimpson","Datos","Punto","Escenario"
16,2.6651889303587,13.0782051282051,"Rarefactados","Segmentado","Desigual"
17,2.65125401829341,12.7353308364544,"Rarefactados","Segmentado","Desigual"
17,2.52723965695078,10.6649242028228,"Rarefactados","Segmentado","Desigual"
8,1.53365735240467,4.01614173228346,"Rarefactados","Segmentado","Desigual"
8,1.47844038319474,3.66546891843335,"Rarefactados","Segmentado","Desigual"
5,1.3492955285261,3.5568340306834,"Rarefactados","Segmentado","Desigual"
16,1.85991578911494,3.31093800714054,"Rarefactados","Segmentado","Desigual"
15,1.95136140842915,3.96926070038911,"Rarefactados","Segmentado","Desigual"
14,1.54943717077602,2.69653713983611,"Rarefactados","Segmentado","Desigual"
22,2.49059638077713,6.39360701974303,"Rarefactados","Segmentado","Desigual"
18,2.20634797090504,4.95314396698228,"Rarefactados","Segmentado","Desigual"
14,2.30631483354597,7.36268495128113,"Rarefactados","Segmentado","Desigual"
15,2.28801361207625,6.85320792744373,"Rarefactados","Segmentado","Desigual"
17,2.62270197956001,11.9170560747664,"Rarefactados","Segmentado","Desigual"
17,2.6381049310133,12.2240862792091,"Rarefactados","Segmentado","Desigual"
15,2.50686481483646,10.8694725625999,"Rarefactados","Segmentado","Desigual"
12,2.33425875921203,9.16120341266278,"Rarefactados","Segmentado","Desigual"
15,2.50456166092703,9.95219512195122,"Rarefactados","Segmentado","Desigual"
14,2.46290030626166,10.0452978828163,"Rarefactados","Segmentado","Desigual"
11,2.25215521690763,8.00706436420722,"Rarefactados","Segmentado","Desigual"
13,2.47488308170698,11.1791780821918,"Rarefactados","Segmentado","Desigual"
14,2.48951700720303,10.5655100983946,"Rarefactados","Segmentado","Desigual"
13,2.38468598057038,9.51142191142191,"Rarefactados","Segmentado","Desigual"
15,2.55935056014763,11.6983944954128,"Rarefactados","Segmentado","Desigual"
14,2.38785070434551,9.19837691614067,"Rarefactados","Segmentado","Desigual"
14,2.45703230224512,10.2061030515258,"Rarefactados","Segmentado","Desigual"
14,2.37735685853553,9.21915951197469,"Rarefactados","Segmentado","Desigual"
16,2.66248176184527,13.1397720455909,"Originales","Segmentado","Desigual"
17,2.63298461483025,12.5235527359239,"Originales","Segmentado","Desigual"
17,2.51496173511962,10.6173564753004,"Originales","Segmentado","Desigual"
8,1.56805388068697,4.11735327671441,"Originales","Segmentado","Desigual"
8,1.54374072029058,3.90960743801653,"Originales","Segmentado","Desigual"
5,1.35456109938729,3.58867506576215,"Originales","Segmentado","Desigual"
16,1.99499015883006,3.81926906384399,"Originales","Segmentado","Desigual"
15,2.04117072973144,4.30104223806912,"Originales","Segmentado","Desigual"
14,1.61061310697459,2.84596152864942,"Originales","Segmentado","Desigual"
22,2.48735199274973,6.45241265614102,"Originales","Segmentado","Desigual"
18,2.30648930512025,5.66977061094708,"Originales","Segmentado","Desigual"
14,2.30574715186301,7.06314422530639,"Originales","Segmentado","Desigual"
15,2.25605856049909,6.53095684803002,"Originales","Segmentado","Desigual"
18,2.65028563760554,12.3825812505331,"Originales","Segmentado","Desigual"
19,2.71500808148907,13.2170195975273,"Originales","Segmentado","Desigual"
15,2.48516622505274,10.4188833674364,"Originales","Segmentado","Desigual"
12,2.33048087639682,8.92354174374152,"Originales","Segmentado","Desigual"
15,2.48279185182936,9.35429971131135,"Originales","Segmentado","Desigual"
14,2.46690021877857,10.2589671839227,"Originales","Segmentado","Desigual"
11,2.24784445118552,7.93131230370067,"Originales","Segmentado","Desigual"
15,2.5343216575359,11.8507199529827,"Originales","Segmentado","Desigual"
14,2.46129133570799,9.85083135391924,"Originales","Segmentado","Desigual"
13,2.38546034495268,9.59153865525057,"Originales","Segmentado","Desigual"
15,2.57270688206992,11.9439366240098,"Originales","Segmentado","Desigual"
14,2.40357585894704,9.20950490682545,"Originales","Segmentado","Desigual"
14,2.46835290101066,10.3674008810573,"Originales","Segmentado","Desigual"
14,2.4163505651125,9.75441335414915,"Originales","Segmentado","Desigual"
37,2.92991899754935,14.7040624075487,"Rarefactados","Segmentado","Alto numero de lecturas"
37,2.96147411366139,15.3051192745709,"Rarefactados","Segmentado","Alto numero de lecturas"
32,2.95443195958689,15.0770573651747,"Rarefactados","Segmentado","Alto numero de lecturas"
22,1.83679676961047,4.79145200742999,"Rarefactados","Segmentado","Alto numero de lecturas"
23,1.84714664608764,4.60884010148468,"Rarefactados","Segmentado","Alto numero de lecturas"
25,1.84357078769726,4.68608102091183,"Rarefactados","Segmentado","Alto numero de lecturas"
46,2.27645142932129,4.10782947009981,"Rarefactados","Segmentado","Alto numero de lecturas"
47,2.55016820937787,5.33644146785537,"Rarefactados","Segmentado","Alto numero de lecturas"
54,2.57034004768901,4.86972809350422,"Rarefactados","Segmentado","Alto numero de lecturas"
53,2.92699407122182,8.09775777932783,"Rarefactados","Segmentado","Alto numero de lecturas"
60,2.89756771375862,7.10418496895124,"Rarefactados","Segmentado","Alto numero de lecturas"
56,3.07004638147575,11.0055500063863,"Rarefactados","Segmentado","Alto numero de lecturas"
32,2.50854743247478,7.89879900347425,"Rarefactados","Segmentado","Alto numero de lecturas"
48,2.94133782834044,15.3940351415084,"Rarefactados","Segmentado","Alto numero de lecturas"
49,2.98933603905369,15.5251569668992,"Rarefactados","Segmentado","Alto numero de lecturas"
25,2.54053356216131,10.6242954652148,"Rarefactados","Segmentado","Alto numero de lecturas"
19,2.49331094940831,10.0739750471563,"Rarefactados","Segmentado","Alto numero de lecturas"
25,2.48465105164069,9.48657307227293,"Rarefactados","Segmentado","Alto numero de lecturas"
26,2.53066540357121,10.7325971595048,"Rarefactados","Segmentado","Alto numero de lecturas"
15,2.45462609746299,9.75342375575451,"Rarefactados","Segmentado","Alto numero de lecturas"
18,2.53301416585736,11.0886223368767,"Rarefactados","Segmentado","Alto numero de lecturas"
21,2.52396568275242,10.5542075518538,"Rarefactados","Segmentado","Alto numero de lecturas"
16,2.47942226162543,10.331433021466,"Rarefactados","Segmentado","Alto numero de lecturas"
19,2.50337489010982,10.6611289126863,"Rarefactados","Segmentado","Alto numero de lecturas"
24,2.48822759861106,9.6220738553471,"Rarefactados","Segmentado","Alto numero de lecturas"
18,2.4797044680516,10.2171446875352,"Rarefactados","Segmentado","Alto numero de lecturas"
23,2.43086222828349,8.97546285677968,"Rarefactados","Segmentado","Alto numero de lecturas"
37,2.92659435942654,14.6972409883355,"Originales","Segmentado","Alto numero de lecturas"
38,2.95780096480279,15.2548895643355,"Originales","Segmentado","Alto numero de lecturas"
32,2.95005089835016,15.0401062772611,"Originales","Segmentado","Alto numero de lecturas"
22,1.83857066923702,4.79358299003966,"Originales","Segmentado","Alto numero de lecturas"
25,1.84610350735022,4.60898075664998,"Originales","Segmentado","Alto numero de lecturas"
25,1.83968832238107,4.67759302934127,"Originales","Segmentado","Alto numero de lecturas"
48,2.27596649498962,4.06211300207608,"Originales","Segmentado","Alto numero de lecturas"
47,2.52293252499563,5.13875055582524,"Originales","Segmentado","Alto numero de lecturas"
54,2.56884440785969,4.85397833153793,"Originales","Segmentado","Alto numero de lecturas"
54,2.9268262926644,8.07982098312607,"Originales","Segmentado","Alto numero de lecturas"
62,2.9062659309516,7.24306900523128,"Originales","Segmentado","Alto numero de lecturas"
56,3.06560617284057,10.9906352829546,"Originales","Segmentado","Alto numero de lecturas"
32,2.51093053177744,7.90067796100821,"Originales","Segmentado","Alto numero de lecturas"
48,2.94540913477684,15.3223271020068,"Originales","Segmentado","Alto numero de lecturas"
49,2.98575626453431,15.4590619524368,"Originales","Segmentado","Alto numero de lecturas"
25,2.54546305364368,10.7166401375144,"Originales","Segmentado","Alto numero de lecturas"
19,2.49360758903066,10.0839000776953,"Originales","Segmentado","Alto numero de lecturas"
26,2.48844409493171,9.53981552201889,"Originales","Segmentado","Alto numero de lecturas"
27,2.52712281052883,10.7130060659624,"Originales","Segmentado","Alto numero de lecturas"
15,2.45751782629794,9.8155482119308,"Originales","Segmentado","Alto numero de lecturas"
18,2.53345575773745,11.1200263307317,"Originales","Segmentado","Alto numero de lecturas"
21,2.5269559355899,10.5810691883594,"Originales","Segmentado","Alto numero de lecturas"
16,2.47976684004097,10.325221152072,"Originales","Segmentado","Alto numero de lecturas"
19,2.5024202215957,10.6415950066812,"Originales","Segmentado","Alto numero de lecturas"
24,2.48873051233954,9.63683016828868,"Originales","Segmentado","Alto numero de lecturas"
18,2.47953610134898,10.1824307077261,"Originales","Segmentado","Alto numero de lecturas"
23,2.43202426370492,8.99022506202797,"Originales","Segmentado","Alto numero de lecturas"
